13:10:50.366 -> Forming a connection to e3:27:98:fc:95:ca
13:10:50.366 ->  - Created client
13:10:53.342 ->  - Connected to server
13:10:54.000 ->  - Found our service
13:10:54.000 ->  - Found our characteristic
13:10:54.000 -> We are now connected to the BLE Server.
13:10:54.140 -> e32798fc95ca.txt exists.
13:10:54.140 -> GIVEN SN: E0001
13:10:54.279 -> GROUND SIGNALS ON ALL INPUTS
13:10:56.842 -> V1: -0.02519 V2: -0.01300 T1: 2.71600 T2: 2.73500
13:10:56.890 -> V1: -0.02519 V2: -0.01300 T1: 2.75300 T2: 2.77100
13:10:56.937 -> V1: -0.02519 V2: -0.01300 T1: 2.79000 T2: 2.80800
13:10:56.984 -> V1: -0.02519 V2: -0.01300 T1: 2.82600 T2: 2.84400
13:10:57.031 -> V1: -0.02519 V2: -0.01219 T1: 2.86200 T2: 2.88100
13:10:57.031 -> V1: -0.02600 V2: -0.01300 T1: 2.89900 T2: 2.91700
13:10:57.078 -> V1: -0.02600 V2: -0.01300 T1: 2.93500 T2: 2.95300
13:10:57.124 -> V1: -0.02519 V2: -0.01300 T1: 2.97100 T2: 2.98900
13:10:57.171 -> V1: -0.02519 V2: -0.01300 T1: 3.00700 T2: 3.02500
13:10:57.171 -> V1: -0.02519 V2: -0.01300 T1: 3.04300 T2: 3.06100
13:10:57.218 -> V1: -0.02519 V2: -0.01300 T1: 3.08000 T2: 3.09800
13:10:57.264 -> V1: -0.02519 V2: -0.01300 T1: 3.11600 T2: 3.13400
13:10:57.310 -> V1: -0.02519 V2: -0.01300 T1: 3.15200 T2: 3.17000
13:10:57.310 -> V1: -0.02519 V2: -0.01300 T1: 3.18800 T2: 3.20700
13:10:57.357 -> V1: -0.02519 V2: -0.01300 T1: 3.22500 T2: 3.24300
13:10:57.402 -> V1: -0.02519 V2: -0.01300 T1: 3.26200 T2: 3.28000
13:10:57.449 -> V1: -0.02519 V2: -0.01300 T1: 3.29800 T2: 3.31600
13:10:57.496 -> V1: -0.02519 V2: -0.01300 T1: 3.33500 T2: 3.35300
13:10:57.542 -> V1: -0.02519 V2: -0.01300 T1: 3.37100 T2: 3.38900
13:10:57.542 -> V1: -0.02519 V2: -0.01300 T1: 3.40700 T2: 3.42500
13:10:57.588 -> V1: -0.02519 V2: -0.01219 T1: 3.44400 T2: 3.46200
13:10:57.634 -> V1: -0.02519 V2: -0.01300 T1: 3.48000 T2: 3.49800
13:10:57.681 -> V1: -0.02519 V2: -0.01300 T1: 3.51700 T2: 3.53400
13:10:57.681 -> V1: -0.02519 V2: -0.01300 T1: 3.55200 T2: 3.57100
13:10:57.728 -> V1: -0.02519 V2: -0.01300 T1: 3.58900 T2: 3.60700
13:10:57.774 -> V1: -0.02519 V2: -0.01300 T1: 3.62500 T2: 3.64300
13:10:57.820 -> V1: -0.02519 V2: -0.01300 T1: 3.66200 T2: 3.68000
13:10:57.820 -> V1: -0.02519 V2: -0.01300 T1: 3.69800 T2: 3.71600
13:10:57.867 -> V1: -0.02519 V2: -0.01300 T1: 3.73400 T2: 3.75200
13:10:57.915 -> V1: -0.02519 V2: -0.01300 T1: 3.77100 T2: 3.78900
13:10:57.961 -> V1: -0.02519 V2: -0.01300 T1: 3.80700 T2: 3.82600
13:10:58.008 -> V1: -0.02519 V2: -0.01300 T1: 3.84400 T2: 3.86200
13:10:58.055 -> V1: -0.02519 V2: -0.01300 T1: 3.88000 T2: 3.89800
13:10:58.055 -> V1: -0.02519 V2: -0.01300 T1: 3.91700 T2: 3.93500
13:10:58.102 -> V1: -0.02519 V2: -0.01300 T1: 3.95300 T2: 3.97100
13:10:58.195 -> 
13:10:58.195 -> Median	CH I	-0.025212 +- 0.000014 
13:10:58.195 -> standard deviation	CH I	0.000139 
13:10:58.195 -> Median	CH II	-0.012927 +- 0.000023 
13:10:58.195 -> standard deviation	CH II	0.000234 
13:10:58.195 -> 
13:10:58.195 -> target was: 0.00 +- 0.05
13:10:58.195 -> CHI looks good  -  CHII looks good
13:10:58.195 -> 
13:10:58.383 -> +12 SIGNALS ON ALL INPUTS
13:10:58.616 -> V1: -0.01866 V2: -0.02039 T1: 4.46000 T2: 4.47800
13:10:58.662 -> V1: -0.01460 V2: -0.00170 T1: 4.49600 T2: 4.51400
13:10:58.662 -> V1: 0.01140 V2: 0.02511 T1: 4.53200 T2: 4.55000
13:10:58.709 -> V1: 0.03090 V2: 0.02674 T1: 4.56900 T2: 4.58700
13:10:58.756 -> V1: 0.01384 V2: -0.00007 T1: 4.60500 T2: 4.62300
13:10:58.803 -> V1: -0.01216 V2: -0.01957 T1: 4.64200 T2: 4.66000
